,Brand,Operating System,Ram Type,Ram Size,Disk Size,Disk Type,MRP
244,MSI,Windows 11,DDR4,8,512,1,79989
245,DELL,Windows 10,DDR4,4,1000,1,43989
246,DELL,Windows 11,DDR4,16,512,1,67224
247,acer,Windows 10,DDR4,16,1000,1,114989
248,HP,Windows 11,DDR4,16,512,1,69990
249,Lenovo,DOS,DDR4,8,512,1,69990
250,Lenovo,Windows 10,DDR4,8,256,1,37990
251,Infinix,Windows 11,DDR5,8,512,1,36990
252,ASUS,Windows 11,DDR4,4,128,1,29979
253,DELL,Windows 11,DDR4,8,512,1,41600
254,ASUS,Windows 11,DDR4,8,512,1,61986
255,HP,Windows 11,DDR4,8,256,1,38999
256,Lenovo,Windows 11,DDR4,4,256,1,31990
257,ASUS,Windows 11,DDR4,8,512,1,46989
258,Infinix,Windows 11,DDR5,8,512,1,37990
259,acer,Windows 10,DDR4,8,1000,1,61489
260,HP,Windows 10,DDR4,16,1000,1,109990
261,HP,Windows 11,DDR4,8,512,1,54990
262,Lenovo,Windows 11,DDR4,8,512,1,50989
263,ASUS,Chrome,DDR5,4,64,0,24390
264,HP,Windows 10,DDR4,16,1000,1,159990
265,ASUS,Windows 11,DDR4,4,256,1,34490
266,ASUS,Windows 11,DDR4,16,512,1,99990
267,ASUS,Windows 11,DDR5,8,512,1,79989
268,HP,Windows 11,DDR4,8,1000,1,41490
269,ASUS,Windows 11,DDR4,8,512,1,59990
270,acer,Windows 11,DDR4,16,512,1,62989
271,ASUS,Windows 11,DDR5,16,1000,1,194990
272,ASUS,Windows 10,DDR4,8,1000,1,62989
273,Lenovo,Windows 10,DDR4,8,512,1,61989
274,acer,Windows 11,DDR5,16,1000,1,155489
275,others,Windows 11,DDR5,4,128,1,19989
276,HP,Windows 11,DDR4,8,512,1,63990
277,acer,Windows 11,DDR4,16,1000,1,124989
278,ASUS,Windows 11,DDR4,4,64,0,21989
279,Lenovo,Windows 10,DDR4,4,256,1,30100
280,acer,Windows 11,DDR4,8,1000,1,61130
281,Lenovo,Windows 11,DDR4,8,1000,1,40990
282,HP,Windows 11,DDR4,8,512,1,46889
283,ASUS,Windows 11,DDR4,4,64,0,19989
284,ASUS,Windows 11,DDR4,16,512,1,89990
285,DELL,Windows 11,DDR4,8,512,1,59790
286,DELL,Windows 11,DDR4,8,256,1,36990
287,ASUS,Windows 10,DDR4,16,512,1,85990
288,HP,Windows 10,DDR4,8,512,1,60989
289,DELL,Windows 11,DDR5,8,512,1,87899
